PM2.5
0.94
1.1
0.79
0.89
0.99
3.3
4.57
3.47
3.78
4.44
4.26
7.27
9.75
8.99
8.13
10.75
17.54
18.33
24.6
28.54
24.21
26.52
26.22
28.05
27.69
33.93
44.5
45.76
48.79
46.29
42.29
40.24
14.62
13.65
12.48
20.31
25.12
24.07
38.25
21.71
26.56
36.59
56.63
72.76
75.9
82.91
70.21
65.22
53.89
30.11
17.48
28.4
29.26
28.06
18.72
21.73
23.39
26.59
31.13
31.12
33.06
40.94
40.7
42.16
43.49
45.16
48.41
47.38
45.11
42.31
30.29
21.87
17.53
14.7
16.6
19.6
20.53
17.29
14.92
17.02
19.52
20.14
21.96
24.77
24.49
24.16
24.29
25.55
26.82
28.25
29.1
28.1
27.88
27.55
26.41
25.17
23.33
21.77
22.1
17.5
17.31
19.01
25.22
24.88
25.97
26.3
27.1
29.34
30.69
30.87
31.88
34.3
32.92
30.78
27.15
24.52
23.37
22.53
20.43
18.51
18.81
16.84
14.79
14.02
16.21
17.09
17.95
19.16
17.61
19.44
23.67
26.3
27.65
28.76
27.1
26.68
24.1
22.33
21.11
21.37
22.86
24.02
25.64
26.08
25.57
24.35
24.05
26.3
25.23
25.19
23.91
25.79
28.39
29.7
33.05
37.48
38.31
39.96
38.17
35.43
33.72
34.08
32.41
31.81
33.59
33.49
32.43
31.58
31.81
36.79
34.93
32.03
33.04
30.54
34.22
40.08
36.77
41.24
35.69
31.43
27.66
22.37
17.76
17.65
17.34
18.19
16.94
18.83
18.05
23.11
32.3
32.81
28.34
20.79
23.52
21.56
24.21
25.18
18.03
18.43
12.23
10.9
9.71
7.54
6.45
6.68
5.92
5.14
4.41
4.08
2.58
2.31
2.39
2.15
3.06
2.96
2.79
2.32
2.68
2.29
2.36
2.65
3.02
7.88
8.3
7.58
8.88
11.92
16.59
18.02
14.29
9.72
5.31
3.99
2.13
2.14
2.85
3.15
3.62
2.89
3.07
2.43
2.95
3.67
8.12
7.42
6.13
6.22
6.99
6.4
9.25
7.66
4.57
3.78
3.87
4.0
3.33
3.89
4.03
4.56
5.29
6.83
7.97
8.75
9.37
8.24
8.09
6.82
5.62
4.8
4.23
3.12
2.02
2.18
2.84
2.69
