FH,SQ,Q,FX,SIN_HOUR,COS_HOUR
6.0,0.0,0.0,7.0,0.730836,0.730836
6.0,0.0,0.0,9.0,0.8878852,0.8878852
6.0,0.0,0.0,8.0,0.9790841,0.9790841
7.0,0.0,0.0,9.0,0.99766874,0.99766874
7.0,0.0,6.0,10.0,0.9422609,0.9422609
7.0,0.2,34.0,9.0,0.8169699,0.8169699
6.0,0.6,86.0,8.0,0.63108796,0.63108796
7.0,0.1,78.0,10.0,0.39840108,0.39840108
7.0,1.0,184.0,9.0,0.13616665,0.13616665
8.0,1.0,199.0,10.0,-0.13616665,-0.13616665
9.0,1.0,198.0,11.0,-0.39840108,-0.39840108
9.0,1.0,166.0,12.0,-0.63108796,-0.63108796
8.0,0.9,113.0,11.0,-0.8169699,-0.8169699
8.0,1.0,64.0,12.0,-0.9422609,-0.9422609
8.0,0.2,18.0,12.0,-0.99766874,-0.99766874
8.0,0.0,1.0,11.0,-0.9790841,-0.9790841
8.0,0.0,0.0,11.0,-0.8878852,-0.8878852
8.0,0.0,0.0,11.0,-0.730836,-0.730836
8.0,0.0,0.0,11.0,-0.51958394,-0.51958394
8.0,0.0,0.0,11.0,-0.26979676,-0.26979676
8.0,0.0,0.0,11.0,-2.4492937e-16,-2.4492937e-16
8.0,0.0,0.0,10.0,0.26979676,0.26979676
9.0,0.0,0.0,11.0,0.51958394,0.51958394
9.0,0.0,0.0,13.0,0.730836,0.730836
10.0,0.0,0.0,13.0,0.8878852,0.8878852
11.0,0.0,0.0,13.0,0.9790841,0.9790841
11.0,0.0,0.0,14.0,0.99766874,0.99766874
10.0,0.0,5.0,14.0,0.9422609,0.9422609
10.0,0.0,28.0,13.0,0.8169699,0.8169699
11.0,0.0,43.0,14.0,0.63108796,0.63108796
11.0,0.0,57.0,15.0,0.39840108,0.39840108
12.0,0.0,75.0,16.0,0.13616665,0.13616665
12.0,0.0,58.0,16.0,-0.13616665,-0.13616665
11.0,0.0,56.0,14.0,-0.39840108,-0.39840108
12.0,0.0,74.0,16.0,-0.63108796,-0.63108796
12.0,0.3,72.0,16.0,-0.8169699,-0.8169699
11.0,0.3,58.0,16.0,-0.9422609,-0.9422609
11.0,0.3,21.0,15.0,-0.99766874,-0.99766874
8.0,0.0,3.0,13.0,-0.9790841,-0.9790841
6.0,0.0,0.0,9.0,-0.8878852,-0.8878852
6.0,0.0,0.0,8.0,-0.730836,-0.730836
7.0,0.0,0.0,10.0,-0.51958394,-0.51958394
6.0,0.0,0.0,9.0,-0.26979676,-0.26979676
6.0,0.0,0.0,8.0,-2.4492937e-16,-2.4492937e-16
7.0,0.0,0.0,10.0,0.26979676,0.26979676
6.0,0.0,0.0,8.0,0.51958394,0.51958394
7.0,0.0,0.0,9.0,0.730836,0.730836
8.0,0.0,0.0,10.0,0.8878852,0.8878852
7.0,0.0,0.0,8.0,0.9790841,0.9790841
6.0,0.0,0.0,9.0,0.99766874,0.99766874
7.0,0.0,3.0,9.0,0.9422609,0.9422609
5.0,0.0,12.0,6.0,0.8169699,0.8169699
4.0,0.0,19.0,6.0,0.63108796,0.63108796
4.0,0.0,41.0,5.0,0.39840108,0.39840108
4.0,0.0,36.0,6.0,0.13616665,0.13616665
4.0,0.0,41.0,5.0,-0.13616665,-0.13616665
4.0,0.0,55.0,5.0,-0.39840108,-0.39840108
4.0,0.0,24.0,6.0,-0.63108796,-0.63108796
4.0,0.0,23.0,5.0,-0.8169699,-0.8169699
4.0,0.0,11.0,5.0,-0.9422609,-0.9422609
4.0,0.0,4.0,5.0,-0.99766874,-0.99766874
4.0,0.0,0.0,5.0,-0.9790841,-0.9790841
5.0,0.0,0.0,6.0,-0.8878852,-0.8878852
5.0,0.0,0.0,6.0,-0.730836,-0.730836
4.0,0.0,0.0,6.0,-0.51958394,-0.51958394
5.0,0.0,0.0,7.0,-0.26979676,-0.26979676
4.0,0.0,0.0,5.0,-2.4492937e-16,-2.4492937e-16
5.0,0.0,0.0,7.0,0.26979676,0.26979676
5.0,0.0,0.0,7.0,0.51958394,0.51958394
6.0,0.0,0.0,8.0,0.730836,0.730836
7.0,0.0,0.0,9.0,0.8878852,0.8878852
7.0,0.0,0.0,9.0,0.9790841,0.9790841
8.0,0.0,0.0,10.0,0.99766874,0.99766874
7.0,0.0,1.0,9.0,0.9422609,0.9422609
7.0,0.0,5.0,8.0,0.8169699,0.8169699
6.0,0.0,12.0,7.0,0.63108796,0.63108796
6.0,0.0,13.0,8.0,0.39840108,0.39840108
6.0,0.0,45.0,8.0,0.13616665,0.13616665
6.0,0.8,164.0,8.0,-0.13616665,-0.13616665
6.0,0.7,164.0,8.0,-0.39840108,-0.39840108
5.0,0.7,133.0,6.0,-0.63108796,-0.63108796
5.0,0.2,78.0,7.0,-0.8169699,-0.8169699
6.0,0.0,11.0,8.0,-0.9422609,-0.9422609
6.0,0.2,7.0,9.0,-0.99766874,-0.99766874
5.0,0.0,2.0,7.0,-0.9790841,-0.9790841
5.0,0.0,0.0,8.0,-0.8878852,-0.8878852
6.0,0.0,0.0,9.0,-0.730836,-0.730836
6.0,0.0,0.0,9.0,-0.51958394,-0.51958394
6.0,0.0,0.0,8.0,-0.26979676,-0.26979676
5.0,0.0,0.0,8.0,-2.4492937e-16,-2.4492937e-16
6.0,0.0,0.0,8.0,0.26979676,0.26979676
6.0,0.0,0.0,7.0,0.51958394,0.51958394
7.0,0.0,0.0,10.0,0.730836,0.730836
7.0,0.0,0.0,9.0,0.8878852,0.8878852
7.0,0.0,0.0,9.0,0.9790841,0.9790841
8.0,0.0,0.0,9.0,0.99766874,0.99766874
8.0,0.0,3.0,10.0,0.9422609,0.9422609
9.0,0.0,14.0,11.0,0.8169699,0.8169699
8.0,0.1,49.0,10.0,0.63108796,0.63108796
